vocab,x,y,z
फिल्म,1.5643140355349194,-1.7726820019472393,2.524307452903214
रिलिज,1.8597844364128187,0.4413610507212473,2.7143587997110705
मिति,1.206724559844342,0.5768036417696703,-0.7176692752122459
दिएको,-0.2056885622400904,0.6463302214816837,-0.8909763018490672
शनिबार,3.7488348794069513,1.5074458589908386,0.946533294132101
आइपुगेको,0.6239968653058054,-0.14793755307630632,0.688742067470375
फिल्मको,1.5342104637995309,-1.0352926395201263,2.012789319668916
निर्माता,2.7321127245924703,0.8384193400391924,0.1086169689007015
कलाकारको,1.3125663163496717,-0.9863134594633891,0.6339880789116176
टोलीले,2.6240877139993817,1.5395331100862542,0.5375658280496514
रहे,0.9614812961829398,-1.1023139211939894,0.6012876642786378
निर्माण,-0.7999841069189765,3.5792104704966397,-1.2128438098145935
बताए,0.06381833147118152,1.8303550511585813,-1.5903276272272604
देश,-0.7478374061546325,-1.5576014263427465,-0.8555304692588894
टोली,3.1346690298032045,0.7456117562827309,1.1798513643957194
पोखरा,1.7497053081375655,2.040049594759089,0.982727105325333
बुटवल,1.1015283666847482,1.576407405021515,0.8671675494244309
आयोजित,5.81145247944915,2.3239655783548674,-1.48407821993443
अभिनेता,3.2962301319462455,-1.1135401335883033,1.8852264307804463
अभिनेत्री,3.101000214981937,-1.2054235191314804,1.8038421415521244
अधिकारीले,1.610508392518911,0.8795803893660366,-1.4033638676279057
राख्ने,-1.6475479028539033,-0.8921401601904622,-1.1825761413127767
भूमिकामा,1.4335878231454908,-1.7302816864660255,-0.07703707719244393
बताइन्,-0.36572955046702726,-0.166089069109646,0.026346756167502483
कलाकार,3.1379571864047557,-1.4233683556660996,1.0524545146390532
पौडेलले,2.5215464070573677,0.16892559731713438,-1.804211857344392
महिना,0.42653396147130457,1.0820717924050864,1.5257168528756169
गर्दा,-1.5944551121367043,-0.12024051907851417,0.5247710816132151
बिरामी,-1.142094766818216,-0.5051308559457248,3.3018756137310588
परेको,-0.5157435413320829,-0.22772855778496748,1.3635471189153683
लाग्छ,-1.6262745877880351,-2.680039836992944,1.8358286939557353
रमाइलो,-1.0367586969291267,-2.3025112149087983,2.048508972078557
फिल्ममा,2.5190707531667185,-3.000975714218204,1.6300763740759872
सन्देश,-0.760636748451009,-1.45092893052934,-1.0060711051460738
हुँदैन,-3.1210305525678947,-1.9606086859310534,-0.6713515765834288
खोज्ने,-1.4255470947909288,-1.751456842037645,-0.48304035396552975
निर्देशन,0.8282900602410873,1.5124151013469218,-1.2993339162166289
शाही,2.6411877568038222,-0.3543672849075348,0.2837995626109714
अधिकारी,3.2695963937931385,0.9904479837498792,-1.3252415203389678
बराल,1.0943463909253643,-0.9993421004058692,0.5058555670155589
खड्का,5.085239691744575,-0.7198984236178387,1.1779354077239466
लगायतको,1.0570106892336995,0.48551258483924553,-0.6248510243145515
अभिनय,2.163163491340688,-2.416257822061751,1.6388138971528277
फिल्मलाई,0.8593109959089387,-0.5772643716082134,0.9717004255559792
शेर्पा,4.01548631412086,-0.5365258083194817,1.3606313954165916
लामा,4.173480615387941,-0.17092694302593894,1.8420336872034135
शेर्पाले,1.7491990159825583,0.1481347773341634,-0.0855302593405962
काठमाडौं,2.3778627154107475,1.9196871398394282,1.1852460671935976
नाटक,0.8396879311447565,-1.5964294264368544,1.710387369668746
सुरु,0.45455717144396657,1.4642969747968646,0.09475995346384852
